Shorts Title,Upload Date,Upload Day,Duration,Views,Likes,Comments,Hashtags,Watch Time,Views Like Ratio,Views Comment Ratio,Watch Time per Views,Likes Comment Ratio,Audience Engagement Rate,Newest 5 Comment
Tamatar Sabji,22/01/2025,Wednesday,00:47,1764107,74000,124,#sabji,23031.4,23.83928378,14226.66935,0.013055557,596.7741935,4.20%,"""Wow nice recipe maine try Kiya tasty bread ke sath bahut maja aaya khane main"",""Banata kuch nhi hu par video saare dekhta hu"",""I tried this waooow its very easy and tasty thank you for this recipe"",""Easy and mouthwatering indeed...."",""Wow superb"""
Matar ki Poori,23/01/2025,Thursday,00:58,1033624,44000,203,#poori,16652.8,23.49145455,5091.743842,0.016111081,216.7487685,4.28%,"""It's a winner must have recipe in all Bengali house"",""Bengali's famous dish"",""For Bengalis, we have been enjoying this since our childhood. With this we love to have alu dam"",""কড়াইশুঁটির কচুরি"",""yeh hum bengali logo ka fav.winter breakfast hain. koraishuti r kochuri"""
Paneer Malai Kofta,24/01/2025,Friday,01:12,228814,13000,35,#sabji,4576.3,17.60107692,6537.542857,0.020000087,371.4285714,5.69%,"""Wowo kitaa achaa yummy recipe bataye ho ap.Thanks you lot Soo yummy kaun kaun agree karta hai"",""Absolutely mouthwatering"",""Wow super tasty easy recipe"",""Looking yummy Thanks for sharing"",""wow must try"""
Evening Snacks,25/01/2025,Saturday,00:58,386374,19000,52,#snack,6224.9,20.33547368,7430.269231,0.016111074,365.3846154,4.93%,"""Looks like Chilla and Thalipeeth had a baby"",""Seeing this makes me crave for food"",""So yummy"",""Bro is brand ambassador of pyaz & tamatar"",""Pyaaz katane ki skill"""
Paneer Ghotala,26/01/2025,Sunday,01:14,395718,20000,59,#dinnerrecipe,8134.2,19.7859,6707.084746,0.020555547,338.9830508,5.06%,"""New avatar of paneer bhurzi"",""Paneer ghotala looks tasty, nice paneer presentation!!"",""Paneer bhurji with palak basically"",""Nice new palak paneer receipy"",""Superb"""
Aachari Paneer,27/01/2025,Monday,01:24,593599,37000,83,#sabji,13850.6,16.04321622,7151.795181,0.02333326,445.7831325,6.24%,"""I am now tempted to try this recipe. This is the power of your channel"",""Achari paneer looks yummy, great presentation and preparation. Thanks for the paneer recipe!!!"",""Bana liya maine abhi-abhi aur guys it's awesome. Even with chapatis..... Go for it"",""Yummmm !!! Will definitely make"",""आज आप ने पहली बार बिना प्याज लहसून के बिना यानी जैन food banaaya he kiyo की हम भी जैन he एसे ही कुछ आइटम की रेसिपी sikhaaye"""
Hyderabadi Paneer Masala,28/01/2025,Tuesday,01:17,829772,49000,79,#paneersabji,17747.9,16.93412245,10503.44304,0.021388888,620.2531646,5.91%,"""Mooh me bohot hi paani agaya..."",""Aapki har recipe best hoti hain sir"",""Bhai ko paneer se alag hi pyaar hai! Aur ho bhi kyu na ? Itna tasty jo hai!"",""Kya baat hai bhaiya ji ham aapki voice ke deewane Ho Gaye"",""So tasty"""
Mooli ki Chutney,29/01/2025,Wednesday,00:57,146373,7200,29,#chutney,2317.6,20.32958333,5047.344828,0.015833521,248.2758621,4.94%,"""Nice different tasty receipy"",""This is really so tasty"",""Dosa with this chutney"",""WOW"",""Best"""
Soya Chunks ki Sukhi Sabji,30/01/2025,Thursday,01:17,293780,18000,50,#sabji,6283.6,16.32111111,5875.6,0.021388794,360,6.14%,"""Kash dekhte dekhte khane ko bhi mil jata"",""Zabarst recipe"",""Bahut achha recipe hai chef"",""So testy my favourite soya chunks recipe"",""Shukriya janab main soya ki tasty sabzi dhundh raha tha hazir hain"""
Tawa Pulav,31/01/2025,Friday,01:26,153112,13000,28,#pulao,3657.7,11.77784615,5468.285714,0.023889049,464.2857143,8.51%,"""Awesome"",""Wow Tammy is the best"",""Wow"",""Nice"",""Super tasty and spicy"""
Dinner Recipe,01/02/2025,Saturday,01:18,2367085,88000,243,#dinnerrecipe,51286.8,26.89869318,9741.090535,0.021666649,362.1399177,3.73%,"""Bhaya, pakka appka photo ko sathi video lagav,app super bhaya, aap ko dekna hai.its very good for veg persons."",""Clearly no chief understands the meaning of ""2 minute"" cooking"",""Hari mirch fat ke muh pr aa sakti hai"",""Wow great"",""Acidic hai ye kuch logo ko bloating ki problem aa sakti hai"""
Paneer Shawarma,02/02/2025,Sunday,00:59,3577056,106000,208,#snack,58623.9,33.74581132,17197.38462,0.016388868,509.6153846,2.97%,"""yeh panner franckie hai uncle"",""It is so unhealthy. After six months run to cardiac surgeon"",""Shawarma never has sauce in it"",""दूध और दही एक साथ खाया जाता है क्या,,,कुछ भी रेसिपी बता देते है आप लोग,,, दूध से ही पनीर बनाता है नमक तक नहीं पड़ना चाहिए लेकिन आप जैसे लोग पनीर को पानी से भी आवश्यक बना दिए,,,पनीर का नियम है उसे या कच्चा खाए या फ्राई करके तेल या घी में लेकिन नमक नहीं"",""Good idea"""
Baingan Sabji,03/02/2025,Monday,01:27,432695,16000,106,#dinnerrecipe,10456.8,27.0434375,4082.028302,0.024166676,150.9433962,3.72%,"""Mara ko bhe bagen nhe pasand"",""Not so good"",""Mast mast"",""Baingan may pani kabhi nahi dalna. Taste kharab ho jata hai. Koi bhi tarah se baingan ki sabji bana rahe ho, sirf oil may he pakana chahiye. Kabhi Marathi style traditional baingan ki spicy sabji khana."",""Baingan ko thoda aur shallow fry kar ke dal chawal ya khichdi ke sath khao. Another option is to dip it in a besan batter and deep fry, like pakode and have with rice"",""Bihar m iss hum baingan ka bhaja bolte hai"""
Pav Bhaji khichdi,04/02/2025,Tuesday,01:19,227188,13000,40,#dinnerrecipe,4985.5,17.476,5679.7,0.021944381,325,5.74%,"""In gujarati we say VAGHARELI KICHDI"",""Going to try it soon"",""Potato kaha hai..."",""Wow pav bhaji khichdi, i better try this recipe"",""Fulgobi ke bad kea thaa bo"""
Evening Snack,05/02/2025,Wednesday,01:18,271197,16000,65,#snack,5875.9,16.9498125,4172.261538,0.021666538,246.1538462,5.92%,"""Amazing"",""A recipe for bechlor please"",""आता ही चाट तूच चाट...."",""hari mirch to daali hi nh"",""Nice"""
Aloo Bhindi ki Sabji,06/02/2025,Thursday,01:21,220451,11000,42,#bhindirecipe,4960.1,20.041,5248.833333,0.022499785,261.9047619,5.01%,"""No garlic in this recipe? Still an amazingly delicious dish..thanks for sharing."",""pyas tamatar dalke sabji ki taste bugad jati hai bacha lo bhai bhendi ko aise bakwas chison se"",""Bhindi me tomato kaun dalta h"",""Mere bhindi ke recipe bilkul app ke Tara hi or mere karela ke recipe bhi similar hi? From U.K."",""waah"""
Crispy Aloo,07/02/2025,Friday,00:56,622836,26000,55,#potatosnacks,9688.6,23.95523077,11324.29091,0.01555562,472.7272727,4.18%,"""Aloo ka halva bhi banta hai... Muje aj pata chala"",""Me to aalu ki Barfi bhi bna leti hu"",""Adraak means ginger right??"",""Are wah sabse easy one isise start karunga aab aapke recipes try karna"",""Taruaa recipe famous in bihar"",""Bilkul"""
Naan,08/02/2025,Saturday,01:07,519584,21000,49,#dinnerrecipe,9670,24.74209524,10603.7551,0.018611043,428.5714286,4.05%,"""Medha hai je ata nhi hai"",""Mera kyu nhi bna phr kacha rehh rha thaaa"",""Quality"",""Kalonji na ho to kya laga sakte hai options hai kuch?"",""Tandoori roti ban gaya"""
Chatpate Aloo,09/02/2025,Sunday,01:12,193823,8000,50,#snack,3876.5,24.227875,3876.46,0.020000206,160,4.15%,"""Simple Litti Chokha is Best And Emotion"",""Wow kya baat hai Aalu masala"",""It's called aloo ki kalaunji and we eat it with dal chawal"",""Same ऐसा हम करेले में बनाते हैं"",""Yummy"""
Moong Dal Pakoda,10/02/2025,Monday,00:55,905663,34000,71,#snack,13836.5,26.63714706,12755.8169,0.015277758,478.8732394,3.76%,"""i like all ur recipes"",""Jesus Christ mare gye gade gye tisri din phir ji uthe or wo jaldi ane wale hai"",""Telugu me punugulu kehthe Hai is size me,big size Hai tho gaarelu kehthe hai"",""Kolkata mai bht famous aur muje behad hi pasnd hain..."",""Hum rzjsthani to grmio m hi khate h"""
Aloo Gobhi Paratha,11/02/2025,Tuesday,01:28,459980,17000,72,#paratha,11243.9,27.05764706,6388.611111,0.024444324,236.1111111,3.71%,"""Bhot bar khaya h"",""Aapse achcha meri mummy aalu gobhi ka paratha banati hai"",""Bachpan se khate Aaye Hain aage pata nahin kab tak aaenge bahut achcha lagta hai"",""Hamare yaha to bachi hui sabji se banta hai bhai"",""Suna kya bhai bachpan se esa koi paratha nahi bacha Jo Indians mom's ne khilaya nahi"""
Veg Kebab ,12/02/2025,Wednesday,01:23,115636,7600,24,#snack,2666.1,15.21526316,4818.166667,0.023055969,316.6666667,6.59%,"""Dahi tadka recipe"",""kis brand ka soya chunks use kiya ?"",""चने की दाल और डालो"",""Recipe"",""Soyabin nahi dala bro Video me"""
Paneer Tikka Sandwich,13/02/2025,Thursday,01:26,728970,37000,131,#snack,17414.3,19.70189189,5564.656489,0.023888912,282.4427481,5.09%,"""Maine bnaya ye mere ghr me kisi ko psnd nhi aya aur daant alag se padi"",""U have copied from yfl recipes"",""Basically it's very oily"",""Le deke 'thoda sa sarson ka tel' =2 bade ladle sarson oil + 1-2 tbsp oil +50-70 gm butter + 70 gm butter on bread =tasty FULL of calories paneer sandwich.... sir iske baad angio Karwa le?"",""Eating so much oil butter and spices will do no good to our health but will definitely harm it"""
Dry Manchurian,14/02/2025,Friday,01:15,970961,50000,67,#manchurian,20228.4,19.41922,14491.95522,0.020833381,746.2686567,5015%,"""Pakode hi khatam ho jayenge. Gravy tak koi rukega hi nahi"",""Aapaki voice to achhi hai hi pr aapaki recipes wowww"",""Very nice"",""Along with cabbage also add carrot and capsicum for better taste... No need to add water, put salt to the vegetables, they will release its own water"""
Rajma Pulao,15/02/2025,Saturday,01:11,178226,12000,25,#dinnerrecipe,3515,14.85216667,7129.04,0.019722151,480,6.74%,"""App annaya pa(odi try kiya.excelent."",""Ok/good"",""Definitely try this""Ek Chhota chammach pyaj Ek Chhota chammach haldi Ek Chhota chammach Mirchi"",""Rice kitna"""
Mushroom Tikka,16/02/2025,Sunday,01:08,141398,7600,29,#snack,2670.9,18.605,4875.793103,0.018889235,262.0689655,5.39%,"""Mushroom ko aap ne pehle wo kaise clean kiya?"",""Mashroom kitne me milta hai"",""Dekh ke hi bakwas lag ra hai"",""Sar aapane Tandoor ke time mein butter Nahin Lagaya tab test mein aur Jyada maja Aata"",""This is tandoori mushroom duplex"""
Lemon Pepper Paneer,17/02/2025,Monday,01:16,480598,21000,93,#snack,10145.9,22.88561905,5167.72043,0.021110991,225.8064516,4.38%,"""I have tried this recipe... Came out soo soo well for the first time.... I made it today again... Just love the taste .... Simple procedure elegant in taste .... U can replace paneer with soya too Tastes great !!! Thank you for the recipe"",""Aapko nimbu ko seeds nikal dene chahiye the.. mooh me aa gya to sara swaad chala jayega"",""Mene ye video aj hi dekhi or aj hi mene ye recipe try ki kafi achi bani thi"",""Sir kuchh jyada khatta nahin Ho"",""Oil kon sa use karte ho bhai ji"""
Desi Noodles,18/02/2025,Tuesday,01:01,149007,8600,31,#hakkanoodles,2524.8,17.32639535,4806.677419,0.01694417,277.4193548,5.79%,"""Amazing chef"",""Pyaaz phn me kat rha hota h or aankh mera jal rha hota h"",""Kash esa khana har waqt milta to man bhar jata"",""नमकीन जवे पश्चिमी उत्तर प्रदेश की ट्रेडिशनल रेसिपी"",""Trying, but didnt give indian flavour like didnt add turmeric and coriander and onion instead i used scallions"""
Honey Chilli Potato,19/02/2025,Wednesday,01:15,296769,16000,59,#potatosnacks,6182.7,18.5480625,5029.983051,0.020833375,271.1864407,5.41%,"""Chilli potato Aloo shimla sabzi"",""i think that potato fries are not fried well"",""Who cooks honey man? It's not healthy to cook it."",""Corn flour ki jagah meda use kr sakte hai kya"",""Never heat honey"""
Garlic Soup,20/02/2025,Thursday,01:16,101864,6000,19,#snack,2150.5,16.97733333,5361.263158,0.021111482,315.7894737,5.91%,"""Nice an easy recipe; however I can't cut all veg very small as you did .... Thank you from Toronto"",""Soup is looking very tasty"",""Awesome recipe"",""Bhai, pehle pyaz ko acchese kaatlo. Pyaz ki beech waali part ko avoid karo.... it'll harm bhai"",""Again Lehsun getting Virana ki Chudail wala treatment"""
Evening Breakfast,21/02/2025,Friday,01:01,343250,16000,100,#snack,5816.2,21.453125,3432.5,0.016944501,160,4.69%,"""I love the quantity of peanuts"",""Fresh coconut hone se aur bhi maja aata, aling with mustard seeds."",""Hamare yaha ise shushila bolte h"",""You must have added a couple of slender green chillies"",""Wow so sweet testy recipe"",""Humare yha to naste mai YHI bnta hai"""
Matar Chaat,22/02/2025,Saturday,01:26,194581,9500,50,#snack,4648.3,20.48221053,3891.62,0.023888766,190,4.91%,"""Every video of this channel is so satisfying."",""Delicious"",""Pizza lag rha hai"",""Mouthwatering"",""Haeyyyyyy apki cutting skill Just outstanding"""
Cooker vala Pasta,23/02/2025,Sunday,01:21,168119,11000,48,#pasta,3782.7,15.28354545,3502.479167,0.022500134,229.1666667,6.57%,"""Indian taste hai....tadake wala pasta..."",""Pasta ki sabzi bana di lmao"",""Amazing recipe. Going to try it now. As wanted to try something right now. Khichu banane ki sochi thi, par abhi wo cancel. Wo subah banega."",""Hm students ke liye ye recipe badiya hi time bach jayega"",""Love your video and recipe"""
Ganne ka Juice,24/02/2025,Monday,00:39,6147187,200000,715,#summerdrink,66594.5,30.735935,8597.464336,0.010833329,279.7202797,3.27%,"""Juice piladoooo Ganne kai"",""Isme thoda ginger powder dalkar try karna mast lagta hai. I south mai aisa sharbat banta hai"",""It will taste the same because sugarcane juice is 20% sugar and rest is water. But the technical difference is that after we extract the juice from kolhu and boil it, it firstly undergoes maillards reaction and caramelises the gud and secondly it kills all the good enzymes. Caramelisation is the reason the gud 'juice' is brownish while sugarcane juice is green and freshhhhhhh I love it"",""U r such a great chef!!!"",""Beverage engineering"""
Paratha,25/02/2025,Tuesday,01:27,939607,40000,96,#parathalover,22707.2,23.490175,9787.572917,0.024166699,416.6666667,4.27%,"""I make these since last over 10 years when my grand children started eating solid food it’s the best way to give them vegetable in roti paratha. I do spinach purée, mix veg paratha just no feeling but packed with goodness of vegetables"",""Instead of wasting beetroot pulp you can use it for stuffing too"",""Your voice is so soothe to listen, no jazz no drama. Keep it up"",""Wah super tasty and healthy"",""Prattek aap bahot talented ho literally aapki har recipe gajab ki hoti hai"""
Chaas,26/02/2025,Wednesday,00:51,129373,7600,41,#summerdrink,1832.8,17.02276316,3155.439024,0.014166789,185.3658537,5.91%,"""Chef bhaishb... Waise chhachh doodh ko mathne ke baad jo butter nikalta uske baad jo bachha hua liquid hota he use khte he, wo real chhachh hoti he isiliye use buttermilk khte he"",""Hum toh jeera aur kaala namak daalte hain... adrak, hari mirch kaun daalta hai chhaachh mein???"",""Mai harroj peta hu Kyuki mai Gujarat se hu"",""Mujhe Garmi ka Mausam both Jada pasand Hai I love Garmi"",""Itni bhi garmi ni aa gyi h jitni tu recipe le aaya h aiyo ji"""
Baingan Masala,27/02/2025,Thursday,01:26,203106,9500,31,#sabji,4851.9,21.37957895,6551.806452,0.023888511,306.4516129,4.69%,"""Aadha chhota chamach dialogue speaking in one breath is my favourite one"",""Without curd make a delicious sabji recipe"",""Wow itna tasty lag raha hai abhi bana ke khane ka man kar raha hai"",""Mouthwatering"",""Amazing"",""Yummy"",""Waw"",""Wonderful idea"",""sudhu sakahari item"""
Thandi Thandi Lassi,28/02/2025,Friday,00:36,328455,9200,52,#summerdrink,3284.6,35.70163043,6316.442308,0.010000152,176.9230769,2.82%,"""Yes"",""Wow"",""Nice"",""Yummy"",""""Yes mango lassi"",""Yes mango lassi aap banaiye"",""I like mango mix lassi"""
Pav Bhaji,01/03/2025,Saturday,01:28,331866,14000,42,#snack,8112.3,23.70471429,7901.571429,0.024444505,333.3333333,4.23%,"""Healthy vegetables, nutritious and yummy with the right pav bread."",""Very delicious"",""Wow very tasty yummy recipe"",""Wow so tasty recipes"",""Butter itna chamak raha hai ki bhaji bhi khush ho gayi"",""So simple but when I make it comes differently oooooh no"",""Those eyes speak volumes! i am your big fan, aapse hi mera din banta hai, aapko dekhne ke baad hi din ki shuruaat hoti hai, mata rani khush rakhe aapko hmesha"""
Dhuska,02/03/2025,Sunday,01:16,2411157,65000,287,#dinnerrecipe,50902.2,37.09472308,8401.243902,0.02111111,226.4808362,2.71%,"""Hamare Jharkhand ka Prashidh 'Duska' Very very tasty"",""Jharkhand ka dhuska , ise desi chana aur aloo ke gravy vali sabji se khate hain, sath me jalebi"",""Dhushkaa from Jhaarkhand. Yummy Recipe"",""Jharkhand"",""Jharkhand..... dhuska"",""Dhuska from Jharkhand testy recipe"",""Dhuska . Jharkhand"""
Dal Kachori,03/03/2025,Monday,01:22,278620,13000,77,#dinnerrecipe,6346.3,21.43230769,3618.441558,0.022777618,168.8311688,4.69%,"""Dal Puri it's really very tasty we usually make it on special occasions with gud vali kheer"",""Ham ise parathe ki tarh bna ke khate hai aur ye bohot tasty hota hai"",""टेस्टी लग रहा हैं"",""Dal puri kheer ke saath bhi bahut achi lagti hai"",""Tasty recipe"",""Wow Pratik ji very interesting recipe"",""Interesting recipe"""
Oreo Milkshake,04/03/2025,Tuesday,01:17,137160,8200,28,#summerdrink,0.12179784,16.72682927,4898.571429,8.88E-07,292.8571429,5.99%,"""Kitna bhi sponsor kare, Lena to local dairy ya Amul se hi hai"",""Mast"",""Yummy"",""So delicious"",""Nice Bhai"",""Try pulse mojito"",""Very nice"""
Aloo Starter,05/03/2025,Wednesday,01:12,242260,11000,51,#snack,0.152777778,22.02363636,4750.196078,6.31E-07,215.6862745,4.56%,"""I truly love your channel. Keep doing the best work. I am your big fan, aapse hi mera din banta hai, aapko dekhne ke baad hi din ki shuruat hoti hai, mata rani khush rakhe aapko hamesha"",""Amazing"",""Amazing"",""Nice tasty"",""So simple"",""Mast"",""Super"",""Wow"""
Pasta,06/03/2025,Thursday,01:27,110897,5200,42,#pasta,2680,21.32634615,2640.404762,0.024166569,123.8095238,4.72%,"""My dinner on the next Halloween but it looks super tasty and healthy as well... let's go"",""Pink sauce pasta"",""Dracula's Pasta"",""More pasta receipes sir"",""Thanks, chef! Tussi great ho"",""Sir aapki har videos mere ko bahut pasand h"""
Palak Paneer Tikki,07/03/2025,Friday,01:06,187443,9000,33,#snack,3436.5,20.827,5680.090909,0.018333573,272.7272727,4.82%,"""Super tasty Bhai"",""Very nice"",""Yummy"",""Yummy"",""बहुत ही हेल्दी रेसिपी है, खाकर मजा आ जाएगा"",""Yummy palak paneer"",""Ur voice is just superb as usual more yumm to reels"",""Very tasty"""
Sev Tamatar ki Sabji,08/03/2025,Saturday,01:27,809939,39000,101,#sabji,19573.5,20.76766667,8019.19802,0.024166635,386.1386139,4.83%,"""Aap hai na bachalors ka king hai.suk suk jeyo bhai....super"",""Wow v interesting never heard of this"",""Great Beautiful"",""Mari frovt sev tomato"",""So hardworking guy"",""I was waiting for this one"",""Sir you are the best chef"",""You are the best ,the way you speak is very cute"""
Curd Rice,09/03/2025,Sunday,00:59,179822,6400,29,#dinnerrecipe,2947.1,28.0971875,6200.758621,0.016388985,220.6896552,3.58%,"""I bet that was the tasty recipe of all time ....trust me I have tried this"",""Looking amazing as always keep this up"",""आप के रेसिपी easy होती है, आप का बोलने का तरीका, वा बहोत अच्छा लगता है"",""Yummy"",""Apki awaz bhut achi hai kuch video to apki awaz ki wajah se dekhte hai"",""Hostellers ka sahara"",""Super wow"",""Wow"""
Noodles,10/03/2025,Monday,00:57,392682,21000,59,#hakkanoodles,6217.5,18.69914286,6655.627119,0.015833422,355.9322034,5.36%,"""Too Delicious & Easy"",""Very yummy"",""Wonderful"",""Yummy"",""Lassun kat liya baki sabji mai ky hi time lagega"",""Yummy"",""Sach me aap bahut acche se jante h"",""2 mins Maggi laughing at side"""
Chana Chaat,11/03/2025,Tuesday,01:28,1025398,39000,91,#snack,25065.3,26.29225641,11268.10989,0.02444446,428.5714286,3.81%,"""Mouth watering and nutritious chat sir, Thank you for sharing"",""Chanay rakhkay huay hain gala kr aj banaungi thanks chef"",""Wow. Bhai ya. Aap. Ki. Resapi. Bhut. Acchi. Lagti. Hai. Thank you. Likes. All. Resapi."",""Simple or ezy recipe"",""Bhai pototo sath mai daal dete chane ke ...thoda ges Bach Jate"",""Best n simplest Satisfying Recipe Till Date ..... Wowww"""
Aalo Snack,12/03/2025,Wednesday,00:59,637569,23000,53,#snack,10449.1,27.7203913,12029.60377,0.016388971,433.9622642,3.61%,"""Aligarh me bahut banta hai ye......Maine ek baar he khaya tha ....bahut tasty hota hai"",""Very tasty crunchy snacks"",""Wow so tasty"",""Yummy yummy"",""arey waah so easy and tastesy so yummy"",""This is so crisp"",""This is so crispy"",""Wow so yummy"""
Leftover Roti Recipe,13/03/2025,Thursday,01:22,291019,14000,88,#snack,6628.8,20.78707143,3307.034091,0.022777894,159.0909091,4.84%,"""अगर सब्जी भी नहीं बची तो हम चाय के साथ खा लेंगे"",""Bacha Huwa roti sab gaayon ko khila dete hain"",""Hy Bhai nice voice and lovely way to talk about recipes"",""Ham to isse acha roti ko lal mirch aur ghee ke sath kha lage aur sath me chai"",""Looks Tasty"",""Hello bhaiya i am big fan your videos aap ki video bahut achi lagti hai amazing bhaiya"",""Nice recipe"""
